#"+ESI EIC(895.3979) Scan Frag=175.0V PnIA-ClK.d "
#Point,X(Minutes),Y(Counts)
0,1.059,0
1,1.076,0
2,1.093,0
3,1.109,0
4,1.126,0
5,1.143,0
6,1.159,0
7,1.176,0
8,1.193,0
9,1.209,0
10,1.226,0
11,1.243,0
12,1.259,0
13,1.276,0
14,1.293,0
15,1.309,0
16,1.326,0
17,1.343,0
18,1.359,0
19,1.376,0
20,1.393,0.0184881395483701
21,1.409,0
22,1.426,0
23,1.443,0
24,1.459,0
25,1.476,0
26,1.493,0
27,1.509,0
28,1.526,0
29,1.543,0
30,1.559,0
31,1.576,0
32,1.593,0
33,1.609,0
34,1.626,0
35,1.643,0
36,1.659,0
37,1.676,0
38,1.693,0
39,1.709,0
40,1.726,0
41,1.743,0
42,1.759,0
43,1.776,0
44,1.793,0
45,1.809,0
46,1.826,0
47,1.843,0
48,1.859,0
49,1.876,0
50,1.893,0
51,1.909,0
52,1.926,0
53,1.943,0
54,1.959,0.0157883964972331
55,1.976,0
56,1.993,0
57,2.009,0
58,2.026,0
59,2.043,0
60,2.059,0
61,2.076,0
62,2.093,0
63,2.110,0
64,2.126,0
65,2.143,0
66,2.160,0
67,2.176,0
68,2.193,0
69,2.210,0
70,2.226,0
71,2.243,0
72,2.260,0
73,2.276,0
74,2.293,0
75,2.310,0
76,2.326,0
77,2.343,0
78,2.360,0
79,2.376,0
80,2.393,0
81,2.410,0
82,2.426,0
83,2.443,0
84,2.460,0
85,2.476,0
86,2.493,0
87,2.510,0
88,2.526,0
89,2.543,0
90,2.560,0
91,2.576,0
92,2.593,0
93,2.610,0
94,2.626,0.248354299439675
95,2.643,0.57668480586013
96,2.660,0.669952907981796
97,2.676,0.633840552500966
98,2.693,0
99,2.710,0
100,2.726,0
101,2.743,18.620118047543
102,2.760,59.944999312335
103,2.776,100
104,2.793,94.7702134932258
105,2.810,59.4523975173971
106,2.826,30.5142149194528
107,2.843,16.7149330114125
108,2.860,11.2157403399054
109,2.876,7.05066999712557
110,2.893,5.66202900681004
111,2.910,4.64367591174024
112,2.926,3.79132109006799
113,2.943,2.69826546923022
114,2.960,1.94141217265858
115,2.976,1.36923565995888
116,2.993,1.03746367769244
117,3.010,0.857824168446785
118,3.026,0.724857305592782
119,3.043,0.573863734339628
120,3.060,0.464642098766917
121,3.076,0.390645995208108
122,3.093,0.362516816374035
123,3.110,0.329142991097484
124,3.126,0.284722943127111
125,3.143,0.247714366582969
126,3.160,0.235016855833075
127,3.176,0.202901738097728
128,3.193,0.193625196878015
129,3.210,0
130,3.226,0.18276900390415
131,3.243,0.170779191915527
132,3.260,0.171352798383876
133,3.276,0.138859155787212
134,3.293,0.130093466277331
135,3.310,0.147095198394493
136,3.326,0.127493061727428
137,3.343,0
138,3.360,0
139,3.377,0.107458622046326
140,3.393,0.116461397159797
141,3.410,0.118807115983401
142,3.426,0
143,3.443,0.14807525090648
144,3.460,0
145,3.477,0.193481190935726
146,3.493,0
147,3.510,0.169826530952541
148,3.527,0
149,3.543,0.156899267983519
150,3.560,0
151,3.577,0
152,3.593,0
153,3.610,0.0912938260112361
154,3.627,0.0932756324210809
155,3.643,0
156,3.660,0.0776978738121786
157,3.677,0
158,3.693,0.0855935319475168
159,3.710,0
160,3.727,0.0748160981647409
161,3.743,0.0769627088100287
162,3.760,0
163,3.777,0
164,3.793,0
165,3.810,0.0665028716859968
166,3.827,0
167,3.843,0.0712882852970504
168,3.860,0
169,3.877,0
170,3.893,0
171,3.910,0
172,3.927,0
173,3.943,0
174,3.960,0
175,3.977,0
176,3.993,0
177,4.010,0
178,4.027,0.0425464599076245
179,4.043,0
180,4.060,0
181,4.077,0
182,4.093,0
183,4.110,0
184,4.127,0
185,4.143,0
186,4.160,0
187,4.177,0
188,4.193,0
189,4.210,0
190,4.227,0
191,4.243,0
192,4.260,0
193,4.277,0
194,4.293,0.0550650937930964
195,4.310,0
196,4.327,0
197,4.343,0
198,4.360,0
199,4.377,0
200,4.393,0
201,4.410,0
202,4.427,0
203,4.443,0
204,4.460,0
205,4.477,0
206,4.493,0
207,4.510,0
208,4.527,0
209,4.543,0
210,4.560,0
211,4.577,0
212,4.593,0
213,4.610,0
214,4.627,0
215,4.643,0
216,4.660,0
217,4.677,0
218,4.693,0
219,4.710,0
220,4.727,0
221,4.743,0
222,4.760,0
223,4.777,0
224,4.794,0
225,4.810,0
226,4.827,0
227,4.844,0
228,4.860,0
229,4.877,0
230,4.894,0
231,4.910,0
232,4.927,0
233,4.944,0
234,4.960,0
235,4.977,0
236,4.994,0
