,astA_AB_MRM1
0,42.56000137
1,42.54000473
2,42.56000137
3,42.58000183
4,45.1400032
5,42.56000137
6,42.56000137
7,42.56000137
8,42.90000153
9,43.08000183
10,43.40000153
11,43.70000458
12,43.94000244
13,44.18000412
14,44.4600029
15,44.78000259
16,44.94000244
17,44.78000259
18,44.74000168
19,44.68000412
20,44.68000412
21,44.74000168
22,44.76000214
23,44.58000183
24,44.38000488
25,44.32000351
26,44.32000351
27,44.38000488
28,44.48000336
29,44.4600029
30,44.50000381
31,44.56000137
32,44.66000366
33,44.80000305
34,44.9600029
35,44.98000336
36,45.08000183
37,45.04000473
38,45.12000275
39,45.1400032
40,45.22000504
41,45.18000412
42,45.06000137
43,44.90000153
44,44.86000443
45,44.86000443
46,44.92000198
47,44.94000244
48,44.92000198
49,44.98000336
50,45.26000214
51,45.30000305
52,45.30000305
53,45.24000168
54,45.10000229
55,44.9600029
56,45.1400032
57,45.22000504
58,45.28000259
59,45.36000443
60,45.48000336
61,45.72000504
62,45.68000412
63,45.70000458
64,45.78000259
65,45.68000412
66,45.58000183
67,45.52000427
68,45.30000305
69,45.36000443
70,45.16000366
71,45.28000259
72,45.38000488
73,45.28000259
74,45.1400032
75,45.34000397
76,45.30000305
77,45.34000397
78,45.50000381
79,45.40000153
80,45.28000259
81,45.12000275
82,45.20000458
83,45.18000412
84,44.9600029
85,44.94000244
86,45.08000183
87,44.86000443
88,45.04000473
89,44.90000153
90,44.88000488
91,44.82000351
92,44.94000244
93,44.98000336
94,45.1400032
95,44.98000336
96,45.22000504
97,45.26000214
98,45.48000336
99,45.52000427
100,45.40000153
101,45.24000168
102,45.1400032
103,44.92000198
104,44.90000153
105,44.68000412
106,44.60000229
107,44.52000427
108,44.44000244
109,44.50000381
110,44.42000198
111,44.32000351
112,44.22000504
113,44.1400032
114,44.18000412
115,44.34000397
116,44.52000427
117,44.76000214
118,44.82000351
119,45.08000183
120,45.22000504
121,45.4600029
122,45.40000153
123,45.26000214
124,45.24000168
125,45.06000137
126,44.90000153
127,44.78000259
128,44.72000504
129,44.6400032
130,44.48000336
131,44.62000275
132,44.66000366
133,44.62000275
134,44.78000259
135,44.82000351
136,44.94000244
137,44.88000488
138,44.92000198
139,44.98000336
140,44.80000305
141,44.80000305
142,44.92000198
143,44.94000244
144,44.92000198
145,44.90000153
146,44.90000153
147,44.76000214
148,44.60000229
149,44.66000366
150,44.56000137
151,44.44000244
152,44.30000305
153,44.34000397
154,44.24000168
155,44.20000458
156,44.16000366
157,43.98000336
158,44.00000381
159,44.02000427
160,44.16000366
161,44.18000412
162,44.26000214
163,44.38000488
164,44.38000488
165,44.50000381
166,44.50000381
167,44.32000351
168,44.1400032
169,43.9600029
170,44.00000381
171,44.1400032
172,44.12000275
173,44.1400032
174,44.06000137
175,44.00000381
176,44.10000229
177,44.18000412
178,44.1400032
179,44.22000504
180,44.04000473
181,44.12000275
182,44.24000168
183,44.34000397
184,44.48000336
185,44.4600029
186,44.50000381
187,44.42000198
188,44.34000397
189,44.28000259
190,44.28000259
191,44.20000458
192,44.22000504
193,44.20000458
194,44.18000412
195,44.18000412
196,44.32000351
197,44.32000351
198,44.40000153
199,44.34000397
200,44.32000351
201,44.24000168
202,44.36000443
203,44.38000488
204,44.34000397
205,44.26000214
206,44.28000259
207,44.20000458
208,44.16000366
209,44.26000214
210,44.28000259
211,44.28000259
212,44.24000168
213,44.28000259
214,44.24000168
215,44.1400032
216,44.16000366
217,44.10000229
218,43.88000488
219,43.92000198
220,43.86000443
221,43.86000443
222,43.88000488
223,43.92000198
224,44.06000137
225,44.08000183
226,44.08000183
227,44.1400032
228,44.04000473
229,43.9600029
230,44.06000137
231,44.08000183
232,44.02000427
233,43.9600029
234,43.9600029
235,43.9600029
236,43.92000198
237,43.90000153
238,43.98000336
239,43.90000153
240,43.92000198
241,43.98000336
242,44.00000381
243,44.06000137
244,44.16000366
245,44.32000351
246,44.34000397
247,44.18000412
248,44.12000275
249,44.10000229
250,44.10000229
251,44.06000137
252,43.98000336
253,43.86000443
254,43.74000168
255,43.70000458
