"#""+ESI MRM Frag=135.0V CF=0.000 DF=0.000 (245.10000 -> 209.10000) astA_AB_MRM1.d """,,
#Point,X(Minutes),Y(Counts)
0,5.32,42.56000137
1,5.33,42.54000473
2,5.33,42.56000137
3,5.34,42.58000183
4,5.35,45.1400032
5,5.36,42.56000137
6,5.36,42.56000137
7,5.37,42.56000137
8,5.38,42.90000153
9,5.38,43.08000183
10,5.39,43.40000153
11,5.4,43.70000458
12,5.4,43.94000244
13,5.41,44.18000412
14,5.42,44.4600029
15,5.42,44.78000259
16,5.43,44.94000244
17,5.44,44.78000259
18,5.44,44.74000168
19,5.45,44.68000412
20,5.46,44.68000412
21,5.46,44.74000168
22,5.47,44.76000214
23,5.48,44.58000183
24,5.48,44.38000488
25,5.49,44.32000351
26,5.5,44.32000351
27,5.5,44.38000488
28,5.51,44.48000336
29,5.52,44.4600029
30,5.53,44.50000381
31,5.53,44.56000137
32,5.54,44.66000366
33,5.55,44.80000305
34,5.55,44.9600029
35,5.56,44.98000336
36,5.57,45.08000183
37,5.57,45.04000473
38,5.58,45.12000275
39,5.59,45.1400032
40,5.59,45.22000504
41,5.6,45.18000412
42,5.61,45.06000137
43,5.61,44.90000153
44,5.62,44.86000443
45,5.63,44.86000443
46,5.63,44.92000198
47,5.64,44.94000244
48,5.65,44.92000198
49,5.65,44.98000336
50,5.66,45.26000214
51,5.67,45.30000305
52,5.67,45.30000305
53,5.68,45.24000168
54,5.69,45.10000229
55,5.69,44.9600029
56,5.7,45.1400032
57,5.71,45.22000504
58,5.72,45.28000259
59,5.72,45.36000443
60,5.73,45.48000336
61,5.74,45.72000504
62,5.74,45.68000412
63,5.75,45.70000458
64,5.76,45.78000259
65,5.76,45.68000412
66,5.77,45.58000183
67,5.78,45.52000427
68,5.78,45.30000305
69,5.79,45.36000443
70,5.8,45.16000366
71,5.8,45.28000259
72,5.81,45.38000488
73,5.82,45.28000259
74,5.82,45.1400032
75,5.83,45.34000397
76,5.84,45.30000305
77,5.84,45.34000397
78,5.85,45.50000381
79,5.86,45.40000153
80,5.86,45.28000259
81,5.87,45.12000275
82,5.88,45.20000458
83,5.89,45.18000412
84,5.89,44.9600029
85,5.9,44.94000244
86,5.91,45.08000183
87,5.91,44.86000443
88,5.92,45.04000473
89,5.93,44.90000153
90,5.93,44.88000488
91,5.94,44.82000351
92,5.95,44.94000244
93,5.95,44.98000336
94,5.96,45.1400032
95,5.97,44.98000336
96,5.97,45.22000504
97,5.98,45.26000214
98,5.99,45.48000336
99,5.99,45.52000427
100,6,45.40000153
101,6.01,45.24000168
102,6.01,45.1400032
103,6.02,44.92000198
104,6.03,44.90000153
105,6.03,44.68000412
106,6.04,44.60000229
107,6.05,44.52000427
108,6.05,44.44000244
109,6.06,44.50000381
110,6.07,44.42000198
111,6.08,44.32000351
112,6.08,44.22000504
113,6.09,44.1400032
114,6.1,44.18000412
115,6.1,44.34000397
116,6.11,44.52000427
117,6.12,44.76000214
118,6.12,44.82000351
119,6.13,45.08000183
120,6.14,45.22000504
121,6.14,45.4600029
122,6.15,45.40000153
123,6.16,45.26000214
124,6.16,45.24000168
125,6.17,45.06000137
126,6.18,44.90000153
127,6.18,44.78000259
128,6.19,44.72000504
129,6.2,44.6400032
130,6.2,44.48000336
131,6.21,44.62000275
132,6.22,44.66000366
133,6.22,44.62000275
134,6.23,44.78000259
135,6.24,44.82000351
136,6.25,44.94000244
137,6.25,44.88000488
138,6.26,44.92000198
139,6.27,44.98000336
140,6.27,44.80000305
141,6.28,44.80000305
142,6.29,44.92000198
143,6.29,44.94000244
144,6.3,44.92000198
145,6.31,44.90000153
146,6.31,44.90000153
147,6.32,44.76000214
148,6.33,44.60000229
149,6.33,44.66000366
150,6.34,44.56000137
151,6.35,44.44000244
152,6.35,44.30000305
153,6.36,44.34000397
154,6.37,44.24000168
155,6.37,44.20000458
156,6.38,44.16000366
157,6.39,43.98000336
158,6.39,44.00000381
159,6.4,44.02000427
160,6.41,44.16000366
161,6.41,44.18000412
162,6.42,44.26000214
163,6.43,44.38000488
164,6.44,44.38000488
165,6.44,44.50000381
166,6.45,44.50000381
167,6.46,44.32000351
168,6.46,44.1400032
169,6.47,43.9600029
170,6.48,44.00000381
171,6.48,44.1400032
172,6.49,44.12000275
173,6.5,44.1400032
174,6.5,44.06000137
175,6.51,44.00000381
176,6.52,44.10000229
177,6.52,44.18000412
178,6.53,44.1400032
179,6.54,44.22000504
180,6.54,44.04000473
181,6.55,44.12000275
182,6.56,44.24000168
183,6.56,44.34000397
184,6.57,44.48000336
185,6.58,44.4600029
186,6.58,44.50000381
187,6.59,44.42000198
188,6.6,44.34000397
189,6.61,44.28000259
190,6.61,44.28000259
191,6.62,44.20000458
192,6.63,44.22000504
193,6.63,44.20000458
194,6.64,44.18000412
195,6.65,44.18000412
196,6.65,44.32000351
197,6.66,44.32000351
198,6.67,44.40000153
199,6.67,44.34000397
200,6.68,44.32000351
201,6.69,44.24000168
202,6.69,44.36000443
203,6.7,44.38000488
204,6.71,44.34000397
205,6.71,44.26000214
206,6.72,44.28000259
207,6.73,44.20000458
208,6.73,44.16000366
209,6.74,44.26000214
210,6.75,44.28000259
211,6.75,44.28000259
212,6.76,44.24000168
213,6.77,44.28000259
214,6.77,44.24000168
215,6.78,44.1400032
216,6.79,44.16000366
217,6.8,44.10000229
218,6.8,43.88000488
219,6.81,43.92000198
220,6.82,43.86000443
221,6.82,43.86000443
222,6.83,43.88000488
223,6.84,43.92000198
224,6.84,44.06000137
225,6.85,44.08000183
226,6.86,44.08000183
227,6.86,44.1400032
228,6.87,44.04000473
229,6.88,43.9600029
230,6.88,44.06000137
231,6.89,44.08000183
232,6.9,44.02000427
233,6.9,43.9600029
234,6.91,43.9600029
235,6.92,43.9600029
236,6.92,43.92000198
237,6.93,43.90000153
238,6.94,43.98000336
239,6.94,43.90000153
240,6.95,43.92000198
241,6.96,43.98000336
242,6.96,44.00000381
243,6.97,44.06000137
244,6.98,44.16000366
245,6.99,44.32000351
246,6.99,44.34000397
247,7,44.18000412
248,7.01,44.12000275
249,7.01,44.10000229
250,7.02,44.10000229
251,7.03,44.06000137
252,7.03,43.98000336
253,7.04,43.86000443
254,7.05,43.74000168
255,7.05,43.70000458
256,7.06,43.78000259
257,7.07,43.86000443
258,7.07,43.80000305
259,7.08,43.76000214
260,7.09,43.84000397
261,7.09,43.98000336
262,7.1,44.06000137
263,7.11,44.08000183
264,7.11,44.10000229
265,7.12,44.08000183
266,7.13,44.06000137
267,7.13,44.12000275
268,7.14,44.06000137
269,7.15,44.10000229
270,7.16,44.10000229
271,7.16,44.12000275
272,7.17,44.22000504
273,7.18,44.30000305
274,7.18,44.30000305
275,7.19,44.32000351
276,7.2,44.26000214
277,7.2,44.34000397
278,7.21,44.22000504
279,7.22,44.20000458
280,7.22,44.34000397
281,7.23,44.18000412
282,7.24,44.18000412
283,7.24,44.24000168
284,7.25,44.12000275
285,7.26,44.22000504
286,7.26,44.12000275
287,7.27,44.08000183
288,7.28,44.02000427
289,7.28,43.84000397
290,7.29,43.80000305
291,7.3,43.70000458
292,7.3,43.50000381
293,7.31,43.52000427
294,7.32,43.44000244
295,7.32,43.4600029
296,7.33,43.56000137
297,7.34,43.52000427
298,7.35,43.48000336
299,7.35,43.4600029
300,7.36,43.48000336
301,7.37,43.50000381
302,7.37,43.58000183
303,7.38,43.68000412
304,7.39,43.70000458
305,7.39,43.74000168
306,7.4,43.9600029
307,7.41,44.20000458
308,7.41,44.20000458
309,7.42,44.12000275
310,7.43,44.08000183
311,7.43,43.9600029
312,7.44,43.80000305
313,7.45,43.76000214
314,7.45,43.70000458
315,7.46,43.56000137
316,7.47,43.40000153
317,7.47,43.54000473
318,7.48,43.62000275
319,7.49,43.60000229
320,7.49,43.54000473
321,7.5,43.50000381
322,7.51,43.44000244
323,7.52,43.38000488
324,7.52,43.30000305
325,7.53,43.32000351
326,7.54,43.22000122
327,7.54,43.16000366
328,7.55,43.16000366
329,7.56,43.1400032
330,7.56,43.24000168
331,7.57,43.32000351
332,7.58,43.28000259
333,7.58,43.42000198
334,7.59,43.48000336
335,7.6,43.50000381
336,7.6,43.58000183
337,7.61,43.6400032
338,7.62,43.68000412
339,7.62,43.56000137
340,7.63,43.54000473
341,7.64,43.60000229
342,7.64,43.48000336
343,7.65,43.4600029
344,7.66,43.52000427
345,7.66,43.50000381
346,7.67,43.52000427
347,7.68,43.54000473
348,7.68,43.6400032
349,7.69,43.60000229
350,7.7,43.60000229
351,7.71,43.68000412
352,7.71,43.74000168
353,7.72,43.72000122
354,7.73,43.74000168
355,7.73,43.68000412
356,7.74,43.60000229
357,7.75,43.54000473
358,7.75,43.54000473
359,7.76,43.52000427
360,7.77,43.50000381
361,7.77,43.50000381
362,7.78,43.52000427
363,7.79,43.70000458
364,7.79,43.84000397
365,7.8,43.94000244
366,7.81,44.00000381
367,7.81,44.00000381
368,7.82,44.04000473
369,7.83,44.00000381
370,7.83,43.94000244
371,7.84,43.94000244
372,7.85,43.76000214
373,7.85,43.68000412
374,7.86,43.62000275
375,7.87,43.6400032
376,7.88,43.72000122
377,7.88,43.76000214
378,7.89,43.78000259
379,7.9,43.82000351
380,7.9,43.92000198
381,7.91,44.06000137
382,7.92,44.10000229
383,7.92,44.1400032
384,7.93,44.18000412
385,7.94,44.08000183
386,7.94,44.04000473
387,7.95,44.08000183
388,7.96,44.02000427
389,7.96,43.88000488
390,7.97,43.90000153
391,7.98,43.92000198
392,7.98,43.86000443
393,7.99,43.80000305
394,8,43.76000214
395,8,43.78000259
396,8.01,43.78000259
397,8.02,43.86000443
398,8.02,43.86000443
399,8.03,43.84000397
400,8.04,43.98000336
401,8.04,44.02000427
402,8.05,44.08000183
403,8.06,44.20000458
404,8.07,44.16000366
405,8.07,44.18000412
406,8.08,44.20000458
407,8.09,44.28000259
408,8.09,44.22000504
409,8.1,44.12000275
410,8.11,44.12000275
411,8.11,44.06000137
412,8.12,43.92000198
413,8.13,43.88000488
414,8.13,43.80000305
415,8.14,43.66000366
416,8.15,43.52000427
417,8.15,43.52000427
418,8.16,43.56000137
419,8.17,43.62000275
420,8.17,43.60000229
421,8.18,43.68000412
422,8.19,43.72000122
423,8.19,43.76000214
424,8.2,43.74000168
425,8.21,43.82000351
426,8.21,43.80000305
427,8.22,43.82000351
428,8.23,43.9600029
429,8.24,44.10000229
430,8.24,44.22000504
431,8.25,44.30000305
432,8.26,44.56000137
433,8.26,44.66000366
434,8.27,44.68000412
435,8.28,44.70000458
436,8.28,44.58000183
437,8.29,44.44000244
438,8.3,44.32000351
439,8.3,44.36000443
440,8.31,44.4600029
441,8.32,44.30000305
442,8.32,44.48000336
443,8.33,44.42000198
444,8.34,44.42000198
445,8.34,44.62000275
446,8.35,44.70000458
447,8.36,44.66000366
448,8.36,44.48000336
449,8.37,44.50000381
450,8.38,44.48000336
451,8.38,44.36000443
452,8.39,44.38000488
453,8.4,44.28000259
454,8.4,44.02000427
455,8.41,44.00000381
456,8.42,44.16000366
457,8.43,44.26000214
458,8.43,44.16000366
459,8.44,44.28000259
